Country name,Regional indicator,Continent,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Ladder score normalised,Logged GDP per capita normalised,Social support normalised,Healthy life expectancy normalised,Freedom to make life choices normalised,Generosity normalised,Perceptions of corruption normalised
Niger,Sub-Saharan Africa,Africa,5.074,0.102,5.273,4.875,7.098,0.641,53.78,0.806,0.018,0.693,2.43,0.162,0.402,0.167,0.516,0.2,0.157,3.47,4.796014288,0.923782921,3.423076923,1.861984197,7.210884354,3.686746988,7.129521587
Nigeria,Sub-Saharan Africa,Africa,4.759,0.052,4.861,4.658,8.533,0.74,50.102,0.737,0.037,0.878,2.43,0.663,0.625,0.051,0.433,0.212,0.039,2.736,4.203797706,3.786911413,5.326923077,0.570324846,6.037414966,3.915662651,9.288214702
Northern Cyprus,Western Europe,Europe,5.536,0.051,5.636,5.435,10.576,0.82,73.898,0.795,0.012,0.626,2.43,1.377,0.806,0.801,0.503,0.196,0.2,1.653,5.664598609,7.863128492,6.865384615,8.927129061,7.023809524,3.614457831,6.347724621
Norway,Western Europe,Europe,7.392,0.035,7.462,7.323,11.053,0.954,73.3,0.96,0.093,0.27,2.43,1.543,1.108,0.782,0.703,0.249,0.427,2.58,9.153976311,8.814844374,9.442307692,8.717120281,9.829931973,4.590361446,2.19369895
Pakistan,South Asia,Asia,4.934,0.068,5.066,4.802,8.458,0.651,58.709,0.726,0.098,0.787,2.43,0.637,0.423,0.322,0.418,0.252,0.097,2.784,4.532806919,3.637270551,3.615384615,3.592976295,5.850340136,4.65060241,8.226371062
Palestine,Middle East and North Africa,Asia,4.517,0.067,4.649,4.384,8.485,0.826,62.25,0.653,-0.163,0.821,2.43,0.646,0.819,0.434,0.33,0.082,0.075,2.131,3.748824967,3.691141261,6.980769231,4.836523266,4.608843537,1.506024096,8.623103851
Panama,Latin America and Caribbean,North America,6.18,0.073,6.323,6.036,10.35,0.896,69.652,0.872,-0.166,0.856,2.43,1.298,0.976,0.667,0.596,0.079,0.053,2.509,6.87535251,7.412210694,8.326923077,7.435996488,8.333333333,1.469879518,9.031505251
Paraguay,Latin America and Caribbean,South America,5.653,0.092,5.832,5.473,9.448,0.893,65.9,0.876,0.028,0.882,2.43,0.983,0.97,0.549,0.602,0.206,0.037,2.306,5.884564768,5.612529928,8.269230769,6.118349429,8.401360544,3.807228916,9.334889148
Peru,Latin America and Caribbean,South America,5.84,0.075,5.988,5.692,9.458,0.832,68.25,0.822,-0.154,0.891,2.43,0.986,0.833,0.623,0.536,0.087,0.031,2.744,6.236134612,5.632482043,7.096153846,6.943634767,7.482993197,1.614457831,9.439906651
Philippines,Southeast Asia,Asia,5.88,0.052,5.982,5.778,9.076,0.83,62,0.917,-0.097,0.742,2.43,0.853,0.828,0.426,0.651,0.125,0.126,2.872,6.311336717,4.870311253,7.057692308,4.748726953,9.098639456,2.301204819,7.701283547
Poland,Central and Eastern Europe,Europe,6.166,0.04,6.245,6.087,10.382,0.898,69.702,0.841,-0.165,0.735,2.43,1.309,0.982,0.668,0.558,0.08,0.13,2.438,6.849031773,7.476057462,8.365384615,7.453555751,7.806122449,1.481927711,7.619603267
Portugal,Western Europe,Europe,5.929,0.055,6.037,5.821,10.421,0.879,72.6,0.892,-0.244,0.887,2.43,1.323,0.939,0.76,0.621,0.029,0.033,2.225,6.403459297,7.55387071,8,8.471290606,8.673469388,0.530120482,9.393232205
Republic of Congo,Sub-Saharan Africa,Africa,5.342,0.097,5.533,5.151,8.117,0.636,58.221,0.695,-0.068,0.745,2.43,0.518,0.392,0.307,0.381,0.144,0.124,3.476,5.299868396,2.956903432,3.326923077,3.421597893,5.323129252,2.65060241,7.736289382
Republic of Serbia,Central and Eastern Europe,Europe,6.078,0.053,6.181,5.974,9.787,0.873,68.6,0.778,0.002,0.835,2.43,1.101,0.924,0.634,0.482,0.189,0.066,2.682,6.68358714,6.288906624,7.884615385,7.066549605,6.734693878,3.493975904,8.786464411
Romania,Central and Eastern Europe,Europe,6.14,0.057,6.253,6.027,10.284,0.832,67.355,0.845,-0.219,0.938,2.43,1.275,0.832,0.595,0.564,0.045,0.001,2.83,6.800150404,7.280526736,7.096153846,6.629323968,7.87414966,0.831325301,9.988331389
Russia,Commonwealth of Independent States,Europe,5.477,0.033,5.541,5.413,10.189,0.903,64.703,0.718,-0.111,0.845,2.43,1.241,0.992,0.511,0.409,0.115,0.06,2.148,5.553675503,7.090981644,8.461538462,5.697980685,5.714285714,2.13253012,8.903150525
Rwanda,Sub-Saharan Africa,Africa,3.415,0.068,3.548,3.282,7.676,0.552,61.4,0.897,0.061,0.167,2.43,0.364,0.202,0.407,0.627,0.227,0.493,1.095,1.677006956,2.077015164,1.711538462,4.538015803,8.758503401,4.204819277,0.991831972
Saudi Arabia,Middle East and North Africa,Asia,6.494,0.056,6.604,6.384,10.743,0.891,66.603,0.877,-0.149,0.684,2.43,1.435,0.964,0.571,0.603,0.09,0.163,2.668,7.465689039,8.196328811,8.230769231,6.36523266,8.418367347,1.674698795,7.024504084
Senegal,Sub-Saharan Africa,Africa,5.132,0.068,5.266,4.998,8.118,0.71,59.802,0.695,-0.046,0.801,2.43,0.518,0.558,0.357,0.381,0.158,0.088,3.071,4.905057342,2.958898643,4.75,3.976821773,5.323129252,2.915662651,8.389731622
Sierra Leone,Sub-Saharan Africa,Africa,3.849,0.077,4.001,3.698,7.434,0.63,51.651,0.717,0.084,0.866,2.43,0.279,0.377,0.1,0.408,0.243,0.047,2.396,2.492949803,1.594173982,3.211538462,1.114310799,5.697278912,4.481927711,9.148191365
Singapore,Southeast Asia,Asia,6.377,0.043,6.46,6.293,11.488,0.915,76.953,0.927,-0.018,0.082,2.43,1.695,1.019,0.897,0.664,0.176,0.547,1.379,7.24572288,9.682761373,8.692307692,10,9.268707483,3.253012048,0
Slovakia,Central and Eastern Europe,Europe,6.331,0.041,6.411,6.251,10.369,0.936,69.201,0.766,-0.124,0.911,2.43,1.304,1.066,0.653,0.468,0.107,0.018,2.714,7.159240459,7.450119713,9.096153846,7.27761194,6.530612245,1.975903614,9.67327888
Slovenia,Central and Eastern Europe,Europe,6.461,0.043,6.546,6.376,10.529,0.948,71.4,0.949,-0.101,0.806,2.43,1.36,1.093,0.722,0.69,0.122,0.085,2.388,7.403647302,7.769353551,9.326923077,8.049868306,9.642857143,2.253012048,8.448074679
South Africa,Sub-Saharan Africa,Africa,4.956,0.06,5.074,4.839,9.403,0.86,56.904,0.749,-0.067,0.86,2.43,0.967,0.895,0.265,0.447,0.144,0.051,2.187,4.574168077,5.522745411,7.634615385,2.959086918,6.241496599,2.662650602,9.078179697
South Korea,East Asia,Asia,5.845,0.042,5.928,5.763,10.651,0.799,73.9,0.672,-0.083,0.727,2.43,1.403,0.758,0.801,0.353,0.134,0.135,2.262,6.245534875,8.012769354,6.461538462,8.927831431,4.931972789,2.469879518,7.526254376
Spain,Western Europe,Europe,6.491,0.042,6.574,6.408,10.571,0.932,74.7,0.761,-0.081,0.745,2.43,1.375,1.057,0.826,0.462,0.135,0.124,2.513,7.460048881,7.853152434,9.019230769,9.208779631,6.445578231,2.493975904,7.736289382
Sri Lanka,South Asia,Asia,4.325,0.066,4.454,4.196,9.47,0.827,67.299,0.841,0.079,0.863,2.43,0.99,0.82,0.593,0.559,0.239,0.049,1.075,3.38785486,5.656424581,7,6.609657594,7.806122449,4.421686747,9.113185531
Swaziland,Sub-Saharan Africa,Africa,4.308,0.071,4.448,4.168,9.065,0.77,50.833,0.647,-0.185,0.708,2.43,0.849,0.693,0.074,0.323,0.067,0.147,2.155,3.355893965,4.848363927,5.903846154,0.827041264,4.506802721,1.240963855,7.304550758
Sweden,Western Europe,Europe,7.363,0.036,7.433,7.293,10.867,0.934,72.7,0.945,0.086,0.237,2.43,1.478,1.062,0.763,0.685,0.244,0.448,2.683,9.099454785,8.443735036,9.057692308,8.506409131,9.574829932,4.506024096,1.808634772
Switzerland,Western Europe,Europe,7.571,0.036,7.643,7.5,11.117,0.942,74.4,0.919,0.025,0.292,2.43,1.566,1.079,0.816,0.653,0.204,0.413,2.839,9.490505734,8.942537909,9.211538462,9.103424056,9.132653061,3.771084337,2.450408401
Taiwan,East Asia,Asia,6.584,0.038,6.659,6.51,10.871,0.898,69.6,0.784,-0.07,0.721,2.43,1.48,0.982,0.665,0.49,0.142,0.139,2.687,7.634893777,8.451715882,8.365384615,7.417734855,6.836734694,2.626506024,7.456242707
Tajikistan,Commonwealth of Independent States,Asia,5.466,0.034,5.532,5.4,8.091,0.86,64.281,0.832,-0.056,0.553,2.43,0.508,0.895,0.498,0.548,0.152,0.247,2.619,5.532994924,2.905027933,7.634615385,5.549780509,7.653061224,2.795180723,5.495915986
Thailand,Southeast Asia,Asia,5.985,0.047,6.077,5.893,9.805,0.888,67.401,0.884,0.287,0.895,2.43,1.107,0.957,0.596,0.611,0.375,0.028,2.309,6.508742245,6.324820431,8.173076923,6.64547849,8.537414966,6.927710843,9.486581097
Togo,Sub-Saharan Africa,Africa,4.107,0.077,4.258,3.956,7.362,0.569,54.914,0.619,0.032,0.772,2.43,0.254,0.239,0.203,0.289,0.209,0.107,2.806,2.978003384,1.450518755,2.038461538,2.26022827,4.030612245,3.855421687,8.05134189
Tunisia,Middle East and North Africa,Africa,4.596,0.058,4.709,4.484,9.266,0.691,67.201,0.656,-0.201,0.87,2.43,0.919,0.515,0.59,0.334,0.057,0.044,2.138,3.897349126,5.249401437,4.384615385,6.57524144,4.659863946,1.048192771,9.194865811
Turkey,Middle East and North Africa,Asia,4.948,0.046,5.038,4.857,10.24,0.822,67.199,0.576,-0.139,0.776,2.43,1.26,0.809,0.59,0.236,0.097,0.104,1.852,4.559127656,7.19273743,6.903846154,6.574539069,3.299319728,1.795180723,8.098016336
Turkmenistan,Commonwealth of Independent States,Asia,5.066,0.036,5.136,4.996,9.629,0.983,62.409,0.877,0.273,0.888,2.43,1.046,1.172,0.439,0.602,0.366,0.033,1.409,4.780973867,5.973663208,10,4.892361721,8.418367347,6.759036145,9.404900817
Uganda,Sub-Saharan Africa,Africa,4.636,0.073,4.78,4.493,7.677,0.781,56.101,0.709,0.122,0.855,2.43,0.364,0.718,0.24,0.398,0.267,0.054,2.596,3.972551231,2.079010375,6.115384615,2.677085162,5.56122449,4.939759036,9.019836639
Ukraine,Commonwealth of Independent States,Europe,4.875,0.052,4.977,4.773,9.436,0.888,64.902,0.724,-0.011,0.924,2.43,0.979,0.958,0.517,0.417,0.181,0.01,1.813,4.421883813,5.58858739,8.173076923,5.76786655,5.816326531,3.337349398,9.824970828
United Arab Emirates,Middle East and North Africa,Asia,6.561,0.039,6.637,6.484,11.085,0.844,67.333,0.932,0.074,0.589,2.43,1.555,0.86,0.594,0.67,0.236,0.223,2.422,7.591652566,8.878691141,7.326923077,6.621597893,9.353741497,4.361445783,5.915985998
United Kingdom,Western Europe,Europe,7.064,0.038,7.138,6.99,10.707,0.934,72.5,0.859,0.233,0.459,2.43,1.423,1.062,0.757,0.58,0.34,0.306,2.596,8.537319045,8.124501197,9.057692308,8.436172081,8.112244898,6.277108434,4.399066511
United Republic of Tanzania,Sub-Saharan Africa,Africa,3.623,0.071,3.762,3.485,7.876,0.702,57.999,0.833,0.183,0.577,2.43,0.433,0.54,0.3,0.549,0.307,0.231,1.263,2.068057906,2.476057462,4.596153846,3.343634767,7.670068027,5.674698795,5.77596266
United States of America,North America and ANZ,North America,6.951,0.049,7.047,6.856,11.023,0.92,68.2,0.837,0.098,0.698,2.43,1.533,1.03,0.621,0.554,0.252,0.154,2.807,8.324873096,8.754988029,8.788461538,6.926075505,7.738095238,4.65060241,7.187864644
Uruguay,Latin America and Caribbean,South America,6.431,0.046,6.521,6.341,9.966,0.925,69.1,0.896,-0.092,0.59,2.43,1.164,1.042,0.649,0.625,0.128,0.223,2.6,7.347245723,6.646049481,8.884615385,7.24214223,8.741496599,2.361445783,5.927654609
Uzbekistan,Commonwealth of Independent States,Asia,6.179,0.068,6.312,6.045,8.836,0.918,65.255,0.97,0.311,0.515,2.43,0.769,1.027,0.528,0.716,0.391,0.271,2.477,6.873472457,4.391460495,8.75,5.891834943,10,7.21686747,5.052508751
Venezuela,Latin America and Caribbean,South America,4.892,0.064,5.017,4.767,9.073,0.861,66.7,0.615,-0.169,0.827,2.43,0.852,0.897,0.574,0.284,0.078,0.072,2.135,4.453844708,4.864325619,7.653846154,6.399297629,3.962585034,1.43373494,8.693115519
Vietnam,Southeast Asia,Asia,5.411,0.039,5.488,5.334,8.973,0.85,68.034,0.94,-0.098,0.796,2.43,0.817,0.873,0.616,0.679,0.124,0.091,2.211,5.429592029,4.664804469,7.442307692,6.867778753,9.489795918,2.289156627,8.331388565
Yemen,Middle East and North Africa,Asia,3.658,0.07,3.794,3.521,7.578,0.832,57.122,0.602,-0.147,0.8,2.43,0.329,0.831,0.272,0.268,0.092,0.089,1.776,2.133859748,1.881484437,7.096153846,3.035645303,3.741496599,1.698795181,8.378063011
Zambia,Sub-Saharan Africa,Africa,4.073,0.069,4.209,3.938,8.145,0.708,55.809,0.782,0.061,0.823,2.43,0.528,0.552,0.231,0.487,0.227,0.074,1.975,2.914081594,3.012769354,4.711538462,2.574539069,6.802721088,4.204819277,8.646441074
Zimbabwe,Sub-Saharan Africa,Africa,3.145,0.058,3.259,3.03,7.943,0.75,56.201,0.677,-0.047,0.821,2.43,0.457,0.649,0.243,0.359,0.157,0.075,1.205,1.169392743,2.609736632,5.519230769,2.712203687,5.017006803,2.903614458,8.623103851
