Factor,Continent,GDP per Capita,Social Support,Healthy Life Expectancy,Freedom,Generosity,Corruption
Kyrgyzstan,Asia,0.379688747,0.826923077,0.559192274,0.94047619,0.490361446,0.963827305
Laos,Europe,0.461292897,0.509615385,0.368393327,0.897959184,0.495180723,0.672112019
Latvia,Asia,0.734237829,0.892307692,0.653977173,0.566326531,0.151807229,0.837806301
Lebanon,Africa,0.596767757,0.740384615,0.662932397,0.243197279,0.259036145,0.952158693
Lesotho,Africa,0.257581804,0.623076923,0.007796313,0.566326531,0.189156627,0.971995333
Liberia,Africa,0.13028731,0.494230769,0.281650571,0.600340136,0.407228916,0.896149358
Libya,Europe,0.595969673,0.7,0.485408253,0.661564626,0.242168675,0.682613769
Lithuania,Europe,0.770949721,0.907692308,0.682282704,0.664965986,0.102409639,0.868144691
Luxembourg,Europe,1,0.855769231,0.847129061,0.892857143,0.306024096,0.354725788
Madagascar,Africa,0.151835595,0.428846154,0.38022827,0.289115646,0.340963855,0.841306884
Malawi,Africa,0.064445331,0.142307692,0.332572432,0.676870748,0.392771084,0.75495916
Malaysia,Asia,0.718874701,0.680769231,0.65404741,0.87244898,0.497590361,0.883313886
Maldives,Asia,0.636671987,0.865384615,0.776892011,0.802721088,0.375903614,0.86697783
Mali,Africa,0.221268955,0.501923077,0.122598771,0.535714286,0.303614458,0.869311552
Malta,Europe,0.805865922,0.9,0.833081651,0.926870748,0.507228916,0.666277713
Mauritania,Africa,0.380486832,0.638461538,0.304934153,0.304421769,0.219277108,0.757292882
Mauritius,Africa,0.672984836,0.85,0.639964881,0.824829932,0.281927711,0.824970828
Mexico,North America,0.643256185,0.707692308,0.706549605,0.816326531,0.169879518,0.83663944
Moldova,Europe,0.56245012,0.757692308,0.604776119,0.74829932,0.251807229,0.975495916
Mongolia,Asia,0.551675978,0.907692308,0.492431958,0.554421769,0.486746988,0.903150525
Montenegro,Europe,0.659417398,0.759615385,0.710131694,0.554421769,0.306024096,0.851808635
Morocco,Africa,0.452513966,0.186538462,0.622651449,0.666666667,0.062650602,0.838973162
Mozambique,Africa,0.104349561,0.540384615,0.218718174,0.850340136,0.420481928,0.702450408
Myanmar,Asia,0.38028731,0.607692308,0.380122915,0.840136054,0.960240964,0.674445741
Namibia,Africa,0.503990423,0.682692308,0.292221247,0.573129252,0.16746988,0.892648775
Nepal,Asia,0.296288907,0.598076923,0.553292362,0.680272109,0.530120482,0.752625438
